scenario,snr_db,method,rmse_deg,median_rmspe_deg,n
moderate,-20.0,Root-MUSIC,31.688495635986328,22.736591339111328,1000
moderate,-20.0,ReconUNet+Root-MUSIC,31.94631576538086,26.090354919433594,1000
moderate,-20.0,FBSS(L=5)+Root-MUSIC,28.079757690429688,16.656272888183594,1000
moderate,-20.0,FBSS(L=6)+Root-MUSIC,28.195680618286133,17.497398376464844,1000
moderate,-20.0,FBSS(L=7)+Root-MUSIC,28.48479652404785,18.048263549804688,1000
moderate,-15.0,Root-MUSIC,12.871580123901367,1.757127285003662,1000
moderate,-15.0,ReconUNet+Root-MUSIC,5.240505695343018,1.4025062322616577,1000
moderate,-15.0,FBSS(L=5)+Root-MUSIC,14.232769012451172,2.8192057609558105,1000
moderate,-15.0,FBSS(L=6)+Root-MUSIC,12.673735618591309,2.242640495300293,1000
moderate,-15.0,FBSS(L=7)+Root-MUSIC,11.526161193847656,1.9072587490081787,1000
moderate,-10.0,Root-MUSIC,6.596377372741699,0.7778674960136414,1000
moderate,-10.0,ReconUNet+Root-MUSIC,1.8706694841384888,0.7181352376937866,1000
moderate,-10.0,FBSS(L=5)+Root-MUSIC,9.25202465057373,1.3189924955368042,1000
moderate,-10.0,FBSS(L=6)+Root-MUSIC,6.940124034881592,1.0436816215515137,1000
moderate,-10.0,FBSS(L=7)+Root-MUSIC,6.490443706512451,0.9025905132293701,1000
moderate,-5.0,Root-MUSIC,5.879513740539551,0.552336573600769,1000
moderate,-5.0,ReconUNet+Root-MUSIC,1.8070552349090576,0.629814863204956,1000
moderate,-5.0,FBSS(L=5)+Root-MUSIC,8.279767036437988,0.9660246968269348,1000
moderate,-5.0,FBSS(L=6)+Root-MUSIC,6.584583282470703,0.7367883324623108,1000
moderate,-5.0,FBSS(L=7)+Root-MUSIC,6.357285499572754,0.6619862914085388,1000
moderate,0.0,Root-MUSIC,5.9148054122924805,0.4863818883895874,1000
moderate,0.0,ReconUNet+Root-MUSIC,1.7902796268463135,0.6164534091949463,1000
moderate,0.0,FBSS(L=5)+Root-MUSIC,8.535537719726562,0.8877875208854675,1000
moderate,0.0,FBSS(L=6)+Root-MUSIC,6.449572563171387,0.6639992594718933,1000
moderate,0.0,FBSS(L=7)+Root-MUSIC,6.312251091003418,0.6086761951446533,1000
moderate,5.0,Root-MUSIC,5.913137912750244,0.47312143445014954,1000
moderate,5.0,ReconUNet+Root-MUSIC,1.7844328880310059,0.6021705865859985,1000
moderate,5.0,FBSS(L=5)+Root-MUSIC,8.501521110534668,0.8806989789009094,1000
moderate,5.0,FBSS(L=6)+Root-MUSIC,6.240111351013184,0.6424998641014099,1000
moderate,5.0,FBSS(L=7)+Root-MUSIC,6.250711917877197,0.5905258655548096,1000
moderate,10.0,Root-MUSIC,6.001031875610352,0.47296595573425293,1000
moderate,10.0,ReconUNet+Root-MUSIC,1.781939148902893,0.5862054228782654,1000
moderate,10.0,FBSS(L=5)+Root-MUSIC,8.433364868164062,0.8764882683753967,1000
