sep_deg,snr_db,method,rmse_deg,median_rmspe_deg,resolution_prob,n
2.0,0.0,Root-MUSIC,29.201297760009766,18.528213500976562,0.068,1000
2.0,0.0,ESPRIT,13.416522026062012,2.3944287300109863,0.128,1000
2.0,0.0,ReconUNet,34.760921478271484,20.303255081176758,0.0,1000
2.0,0.0,SubspaceNet,25.36507225036621,18.83301544189453,0.001,1000
2.0,0.0,DA-MUSIC,9.017953872680664,7.136524200439453,0.001,1000
2.0,0.0,CRLB,4.851022398153441,nan,nan,1000
2.0,-5.0,Root-MUSIC,34.38204574584961,25.2119140625,0.001,1000
2.0,-5.0,ESPRIT,32.17119598388672,21.998626708984375,0.014,1000
2.0,-5.0,ReconUNet,35.29249572753906,20.248027801513672,0.001,1000
2.0,-5.0,SubspaceNet,22.815027236938477,20.052637100219727,0.004,1000
2.0,-5.0,DA-MUSIC,8.982664108276367,7.181495189666748,0.001,1000
2.0,-5.0,CRLB,40.26671281131537,nan,nan,1000
4.0,0.0,Root-MUSIC,0.9108899235725403,0.7120131254196167,0.93,1000
4.0,0.0,ESPRIT,1.1230013370513916,0.8599759936332703,0.869,1000
4.0,0.0,ReconUNet,32.155757904052734,18.38288116455078,0.041,1000
4.0,0.0,SubspaceNet,23.546241760253906,16.580135345458984,0.018,1000
4.0,0.0,DA-MUSIC,7.680938243865967,6.01346492767334,0.007,1000
4.0,0.0,CRLB,0.5335651274586173,nan,nan,1000
4.0,-5.0,Root-MUSIC,24.307613372802734,2.4810125827789307,0.316,1000
4.0,-5.0,ESPRIT,11.022186279296875,1.9407532215118408,0.361,1000
4.0,-5.0,ReconUNet,30.875675201416016,17.579833984375,0.04,1000
4.0,-5.0,SubspaceNet,21.619956970214844,19.077877044677734,0.019,1000
4.0,-5.0,DA-MUSIC,7.66102409362793,6.066131114959717,0.006,1000
4.0,-5.0,CRLB,3.3134228684051483,nan,nan,1000
6.0,0.0,Root-MUSIC,0.557307779788971,0.4433589577674866,1.0,1000
6.0,0.0,ESPRIT,0.6876642107963562,0.5340997576713562,0.999,1000
6.0,0.0,ReconUNet,15.99687385559082,2.597522497177124,0.441,1000
6.0,0.0,SubspaceNet,20.21393585205078,12.06494140625,0.086,1000
6.0,0.0,DA-MUSIC,6.045716762542725,4.983587265014648,0.042,1000
6.0,0.0,CRLB,0.18049158565223003,nan,nan,1000
6.0,-5.0,Root-MUSIC,5.533300399780273,0.8337209224700928,0.952,1000
6.0,-5.0,ESPRIT,1.4796357154846191,1.0202847719192505,0.926,1000
6.0,-5.0,ReconUNet,15.615815162658691,2.6289453506469727,0.446,1000
6.0,-5.0,SubspaceNet,18.057435989379883,12.077065467834473,0.104,1000
6.0,-5.0,DA-MUSIC,6.156913757324219,5.098903656005859,0.043,1000
6.0,-5.0,CRLB,0.9164370451358311,nan,nan,1000
8.0,0.0,Root-MUSIC,0.4213860034942627,0.3320313096046448,1.0,1000
8.0,0.0,ESPRIT,0.5689836144447327,0.4343366026878357,1.0,1000
8.0,0.0,ReconUNet,2.8248708248138428,1.3233575820922852,0.951,1000
8.0,0.0,SubspaceNet,14.37392520904541,4.024947166442871,0.393,1000
8.0,0.0,DA-MUSIC,4.62414026260376,3.9743387699127197,0.275,1000
8.0,0.0,CRLB,0.08966884609541079,nan,nan,1000
8.0,-5.0,Root-MUSIC,0.731372058391571,0.5298592448234558,1.0,1000
8.0,-5.0,ESPRIT,0.9263858199119568,0.6998549699783325,0.998,1000
8.0,-5.0,ReconUNet,3.373631715774536,1.3766181468963623,0.942,1000
8.0,-5.0,SubspaceNet,13.824287414550781,3.7708749771118164,0.417,1000
8.0,-5.0,DA-MUSIC,4.874061584472656,4.149206638336182,0.245,1000
8.0,-5.0,CRLB,0.403376865080464,nan,nan,1000
10.0,0.0,Root-MUSIC,0.3447014093399048,0.26100051403045654,1.0,1000
10.0,0.0,ESPRIT,0.5042741894721985,0.371570885181427,1.0,1000
10.0,0.0,ReconUNet,1.1585631370544434,0.9407082200050354,1.0,1000
10.0,0.0,SubspaceNet,11.704302787780762,2.234588623046875,0.705,1000
10.0,0.0,DA-MUSIC,3.3011839389801025,2.8959102630615234,0.783,1000
10.0,0.0,CRLB,0.05517128902753611,nan,nan,1000
10.0,-5.0,Root-MUSIC,0.5343142747879028,0.40418946743011475,1.0,1000
10.0,-5.0,ESPRIT,0.7351623177528381,0.5467004776000977,1.0,1000
10.0,-5.0,ReconUNet,1.1991987228393555,0.942015528678894,0.999,1000
10.0,-5.0,SubspaceNet,9.87032699584961,2.207444429397583,0.737,1000
10.0,-5.0,DA-MUSIC,3.5190606117248535,3.1196537017822266,0.729,1000
10.0,-5.0,CRLB,0.23233814530709887,nan,nan,1000
15.0,0.0,Root-MUSIC,0.26737073063850403,0.20538511872291565,1.0,1000
15.0,0.0,ESPRIT,0.3814506530761719,0.26738131046295166,1.0,1000
15.0,0.0,ReconUNet,0.6754658222198486,0.532383382320404,1.0,1000
15.0,0.0,SubspaceNet,5.986347198486328,1.176259994506836,0.92,1000
15.0,0.0,DA-MUSIC,1.8812332153320312,1.4684723615646362,0.998,1000
15.0,0.0,CRLB,0.02317452350510856,nan,nan,1000
15.0,-5.0,Root-MUSIC,0.37762516736984253,0.28860723972320557,1.0,1000
15.0,-5.0,ESPRIT,0.5067501664161682,0.3739364743232727,1.0,1000
15.0,-5.0,ReconUNet,0.7126559615135193,0.5557156801223755,1.0,1000
15.0,-5.0,SubspaceNet,7.45345401763916,1.2066794633865356,0.956,1000
15.0,-5.0,DA-MUSIC,2.020256280899048,1.6357003450393677,0.998,1000
15.0,-5.0,CRLB,0.09159130237425063,nan,nan,1000
