T,sampling,method,rmse_deg,median_rmspe_deg,n
8,window,Root-MUSIC,27.037935256958008,13.71107292175293,1000
8,window,ReconUNet,nan,nan,0
8,window,SubspaceNet,nan,nan,0
8,both,CRLB,1.6611095863095566,nan,1000
8,decimated,Root-MUSIC,8.301861763000488,1.2595629692077637,1000
8,decimated,ReconUNet,nan,nan,0
8,decimated,SubspaceNet,nan,nan,0
16,window,Root-MUSIC,20.59238052368164,2.458456516265869,1000
16,window,ReconUNet,25.94099235534668,17.300472259521484,1000
16,window,SubspaceNet,21.48106575012207,9.916004180908203,1000
16,both,CRLB,0.8305547931547783,nan,1000
16,decimated,Root-MUSIC,7.7184343338012695,0.9064633250236511,1000
16,decimated,ReconUNet,34.192134857177734,27.6307373046875,1000
16,decimated,SubspaceNet,23.057636260986328,10.677468299865723,1000
32,window,Root-MUSIC,11.931266784667969,1.1614539623260498,1000
32,window,ReconUNet,20.403139114379883,3.1492552757263184,1000
32,window,SubspaceNet,17.575843811035156,3.969539165496826,1000
32,both,CRLB,0.41527739657738916,nan,1000
32,decimated,Root-MUSIC,5.944129467010498,0.7156813740730286,1000
32,decimated,ReconUNet,29.470016479492188,23.28646469116211,1000
32,decimated,SubspaceNet,15.683972358703613,3.819690704345703,1000
64,window,Root-MUSIC,7.0193257331848145,0.7521737813949585,1000
64,window,ReconUNet,12.653021812438965,1.2887623310089111,1000
64,window,SubspaceNet,12.237786293029785,2.2651541233062744,1000
64,both,CRLB,0.20763869828869458,nan,1000
64,decimated,Root-MUSIC,5.780970096588135,0.6118426322937012,1000
64,decimated,ReconUNet,26.4818172454834,21.262550354003906,1000
64,decimated,SubspaceNet,10.131900787353516,2.096341848373413,1000
128,window,Root-MUSIC,5.712756156921387,0.5723375678062439,1000
128,window,ReconUNet,4.595798969268799,0.8805248737335205,1000
128,window,SubspaceNet,6.6454291343688965,1.5173923969268799,1000
128,both,CRLB,0.10381934914434729,nan,1000
128,decimated,Root-MUSIC,5.545758247375488,0.5602120161056519,1000
128,decimated,ReconUNet,16.35570526123047,2.5718986988067627,1000
128,decimated,SubspaceNet,7.11738920211792,1.397357702255249,1000
256,window,Root-MUSIC,5.875423431396484,0.5030790567398071,1000
256,window,ReconUNet,1.8713102340698242,0.6990557909011841,1000
256,window,SubspaceNet,3.6292099952697754,1.1887035369873047,1000
256,both,CRLB,0.051909674572173645,nan,1000
256,decimated,Root-MUSIC,5.907698631286621,0.512798547744751,1000
256,decimated,ReconUNet,1.843336582183838,0.703925371170044,1000
256,decimated,SubspaceNet,3.8180480003356934,1.0290682315826416,1000
512,window,Root-MUSIC,5.9148054122924805,0.4863818883895874,1000
512,window,ReconUNet,1.7902796268463135,0.6164534091949463,1000
512,window,SubspaceNet,2.9176084995269775,1.035140037536621,1000
512,both,CRLB,0.025954837286086822,nan,1000
512,decimated,Root-MUSIC,5.9148054122924805,0.4863818883895874,1000
512,decimated,ReconUNet,1.7902796268463135,0.6164534091949463,1000
512,decimated,SubspaceNet,2.9176084995269775,1.035140037536621,1000
