scene_idx,scene_id,algo,snr_db,K,modulation,gain_err_dB,phase_err_deg,mutual_coupling,position_err_pct,rmspe_deg,elapsed_s,true_deg,est_deg
610,610,music,11.806540489196777,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,37.0975515026058,0.0060635419795289636,-55.1670;-30.8143;+42.6032,-43.0053;+30.9304;+55.5789
734,734,music,12.300378799438477,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,58.843664980675804,0.0005200830055400729,+21.5265;+27.3930;+39.2965,-38.9696;-27.7687;-21.4088
285,285,music,15.988744735717773,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,50.65302008996605,0.0004911660216748714,-46.6149;+43.3297;+55.6314,-55.0374;-43.4965;+46.2797
404,404,music,19.65530776977539,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,28.252486363110417,0.0004794999258592725,-54.0385;+10.9020;+23.6822,-23.9763;-11.0389;+55.4543
99,99,music,-2.52443790435791,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,64.77370711919525,0.00047695799730718136,+31.0498;+37.4056;+42.1725,-41.3237;-31.9092;-8.2700
15,15,music,1.7757166624069214,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,19.02879063628572,0.00047366705257445574,-37.9628;-15.9846;+43.6881,-43.7913;+15.9541;+38.0102
424,424,music,12.235759735107422,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,36.64384893736194,0.00047320802696049213,-30.7399;-13.7660;-10.3818,+10.3474;+12.1520;+30.4644
112,112,music,0.33993351459503174,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,21.827045535875506,0.00047016702592372894,-34.3271;-14.9805;+50.3898,-50.9086;+15.1681;+34.7255
180,180,music,18.215147018432617,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,77.83923281265282,0.00047104095574468374,+29.8401;+35.5512;+52.3413,-50.9970;-35.5451;-28.8223
646,646,music,-0.9076395034790039,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,39.32538861268058,0.0004692090442404151,-29.2077;+27.0353;+57.7586,-59.0519;-27.3658;+29.6641
826,826,music,17.895111083984375,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,22.7602881402752,0.0004700410645455122,-25.2712;+13.6841;+45.2517,-45.5289;-13.7436;+25.4668
60,60,music,1.5703662633895874,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,12.451983887961882,0.00047833402641117573,-14.4554;+10.1788;+18.7352,-18.8570;-10.4893;+14.4210
445,445,music,-0.38266122341156006,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,50.99260107642588,0.0004712500376626849,-22.9114;+36.5025;+57.9641,-58.0601;-36.5536;+22.9197
634,634,music,16.995849609375,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,23.582449261226085,0.00047091697342693806,-59.5854;-14.2934;+38.9640,-38.9775;+14.2936;+59.6157
639,639,music,9.304220199584961,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,26.786641325809182,0.0004908749833703041,-14.2948;-3.1211;+47.1099,-46.4728;+3.0536;+14.2615
43,43,music,-8.028377532958984,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,33.37864615140083,0.0005447500152513385,+13.8090;+21.4131;+29.2529,-27.0288;-15.9453;+12.5486
186,186,music,-7.858457565307617,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,37.08078497820796,0.0005047919694334269,-3.7224;+45.5704;+49.9264,-48.2829;+4.3528;+28.9404
919,919,music,3.351797342300415,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,21.1502021757675,0.0005150829674676061,-41.9026;-16.3526;+53.9934,-53.0895;+16.1859;+41.4201
559,559,music,6.896313190460205,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,73.37593119161168,0.0004927079426124692,+38.8674;+49.7607;+57.5373,-52.5939;-37.3513;+43.4513
326,326,music,7.3866801261901855,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,26.765945666839244,0.00048329203855246305,-51.0349;-23.1745;+55.1183,-54.1597;+22.8077;+50.1068
605,605,music,12.42630672454834,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,33.72438119912482,0.000478208065032959,-36.9015;-27.4702;+22.8808,-22.9582;+27.5657;+36.6151
713,713,music,-3.871689796447754,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,12.79839297792797,0.000491625047288835,-16.3255;+2.1313;+31.8807,-31.1374;-2.2996;+15.9945
409,409,music,-9.24030876159668,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,27.998961854966137,0.0004938750062137842,-56.8827;-24.0350;+54.6003,-55.3480;+24.4168;+55.9788
548,548,music,1.196569800376892,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,7.287410710694245,0.000496583990752697,-55.8399;+5.0944;+50.8393,-51.0523;-5.2474;+56.2655
853,853,music,-2.2563743591308594,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,30.352604898882706,0.0005026250146329403,-33.1380;-16.5297;+4.6351,-4.5307;+16.7495;+33.5826
222,222,music,12.391558647155762,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,23.19142331694355,0.0005053749773651361,-12.8410;+1.8478;+40.6697,-41.7317;-1.9497;+13.0213
593,593,music,16.433242797851562,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,58.57659423832837,0.0004929999122396111,-54.8125;-42.4422;+13.0604,-12.7261;+41.1849;+52.1615
766,766,music,17.386438369750977,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,31.68583282504243,0.0005013750633224845,-14.3706;+18.2892;+43.1192,-43.5831;-18.3563;+14.5586
18,18,music,13.076733589172363,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,56.075532003009236,0.00048804201651364565,-7.2793;+37.6303;+51.4790,-50.5444;-37.2411;+7.2546
819,819,music,2.9622297286987305,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,75.4495385696845,0.00048204197082668543,+21.8431;+34.8998;+57.9872,-56.3406;-33.3021;-21.4718
387,387,music,11.655769348144531,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,72.03986385477693,0.0004733750829473138,+15.2456;+35.6827;+56.7440,-57.1094;-36.0544;-15.2821
510,510,music,14.32138729095459,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,23.007722016771044,0.0004719579592347145,-50.6704;+18.6656;+40.6006,-40.4271;-18.6354;+50.1807
552,552,music,10.473672866821289,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,30.30061038648667,0.0004718749551102519,-27.1819;-14.4455;+57.9366,-58.5253;+14.4903;+27.3639
835,835,music,7.703700065612793,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,53.62399708163286,0.0004693330265581608,-31.0912;+44.2031;+53.3729,-51.9519;-43.4928;+30.9929
592,592,music,12.176923751831055,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,15.530387611953104,0.00047491700388491154,-28.7480;-25.1016;+19.9986,-19.7991;-0.1355;+24.4920
273,273,music,-5.604306697845459,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,36.44030427850839,0.0004719579592347145,-46.9478;+27.8097;+34.1785,-66.2339;-31.0527;+46.3006
393,393,music,-1.1931712627410889,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,76.56806655022713,0.00047870795242488384,+43.9222;+48.2745;+51.6973,-51.1853;-44.1484;+50.9379
449,449,music,-7.53963041305542,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,34.75156963654879,0.00047212501522153616,-40.2702;-29.8007;+37.3331,-37.4171;+30.2177;+40.8925
588,588,music,3.9387385845184326,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,38.92909533643962,0.0004706250037997961,-47.6196;-19.8647;+8.9768,-8.7963;+19.7987;+47.2651
402,402,music,14.92734432220459,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,56.269081004637755,0.0004692090442404151,-55.3873;-32.2757;+3.5747,-3.5274;+32.1072;+55.1887
875,875,music,13.798824310302734,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,13.954125671134321,0.0004729999927803874,-57.9349;-5.6265;+42.7842,-43.2496;+5.5177;+58.4143
336,336,music,-3.1998958587646484,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,14.610736376228152,0.0004712500376626849,-58.2940;+8.9721;+46.2062,-46.9993;-8.9233;+60.0845
137,137,music,6.747828483581543,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,24.07302739397609,0.0004726659972220659,-25.6538;-11.3170;+0.9499,-0.9683;+11.4630;+25.6528
941,941,music,-5.707263469696045,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,43.49381647568633,0.0004712080117315054,-11.6576;+31.7548;+40.4068,-39.8064;-31.7173;+11.1822
104,104,music,-3.29761004447937,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,60.915535582151556,0.00047154200728982687,-54.7412;-39.0054;+5.4970,-5.7563;+39.8536;+55.6352
292,292,music,-4.4918365478515625,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,81.15913708030476,0.0004694160306826234,+41.3522;+50.3754;+53.7361,-50.3969;-41.6767;+0.1737
235,235,music,14.405291557312012,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,36.82463723943757,0.0004704580642282963,-29.4769;-24.4721;+58.5015,-59.2870;+24.2018;+30.0344
369,369,music,-2.2381691932678223,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,25.207909344324285,0.00046916608698666096,-27.9848;-2.9763;+58.3225,-58.6981;+2.9407;+27.8594
760,760,music,17.673906326293945,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,40.57921965473651,0.00046829204075038433,-43.2573;-33.7788;+30.0311,-30.0139;+33.9949;+43.1215
493,493,music,-2.294987678527832,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,19.647717054078775,0.0004717499250546098,-37.4413;+9.6923;+14.0460,-12.4513;+14.9454;+36.5405
525,525,music,-5.278967380523682,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,12.890920655677052,0.0004693330265581608,-21.2830;+11.3473;+21.3912,-20.9903;-10.9755;+21.0276
791,791,music,7.29545783996582,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,3.840032022832055,0.00046983303036540747,-54.2250;-0.9151;+49.6081,-49.8620;+0.7740;+54.3355
47,47,music,19.24672508239746,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,23.15057924714509,0.0004735830007120967,-2.4787;+6.7654;+28.9849,-29.3003;-6.9450;+2.5184
361,361,music,0.05371825024485588,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,22.655536537197193,0.00047233293298631907,-37.3313;-14.2323;+56.4289,-56.5132;+14.1757;+37.3276
720,720,music,7.078709125518799,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,42.40043043339789,0.0004693330265581608,-11.7753;+20.2900;+55.5735,-54.7790;-20.0065;+11.7526
23,23,music,5.505056858062744,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,80.10875690692451,0.00046841602306813,+27.3501;+36.7560;+57.1659,-55.8558;-35.9931;-26.7184
